X1,Y1,X2,Y2
476.35,122.24,516.29,258.72
477.64,110.75,520.2,251.46
478.01,101.52,525.05,244.19
478.04,93.073,530.06,233.62
477.82,87.714,527.22,220.31
475.47,88.623,517.76,216.81
482.78,81.816,506.22,216.88
493.16,80.62,495.17,217.42
501.36,80.459,485.45,217.82
509.42,80.147,476.08,218.27
517.23,79.487,468.58,218.43
523.46,78.772,462.24,218.3
528.48,78.385,456.72,218.1
533.9,77.657,451.41,218.64
538.99,76.914,446.84,217.2
545.79,75.313,446.13,212.07
570.34,78.736,451.04,205.43
575.36,87.356,455.5,203.78
580.92,95.083,459.83,202.23
587.96,103.75,464.63,200.34
594,111.51,469.18,198.27
599.64,119.63,473.46,195.86
604.42,126.88,477.15,193.32
609.51,134.55,480.34,188.57
614.03,141.69,482.93,181.48
618.7,148.75,486.25,173.69
622.36,154.13,491.75,164.94
626.53,160.14,497.49,158.17
630.83,166.2,503.26,151.9
636.22,173.51,510.17,143.12
640.31,178.75,516.1,134.52
644.09,183.5,525.77,126.56
647.53,187.74,536.18,123.6
650.59,191.24,551.25,120.93
652.85,193.76,565.81,118.09
656.39,197.89,578.71,114.68
659.54,201.34,589.49,111.52
662.73,204.91,598.25,108.41
665.9,208.45,608.54,106.13
669.21,212.02,620.79,109.57
672.12,214.88,628.78,116
675.1,217.86,637.31,123.91
678.27,221.05,646.34,132.09
680.62,223.34,654.59,139.29
684.49,227.98,662.76,145.79
692.25,229.39,669.52,150.35
699.4,222.62,677.52,158.23
705.38,213.23,683.54,168.51
713.21,205.97,688.97,177.91
721.03,198.71,694.39,187.3
728.86,191.46,699.81,196.7
733.15,182.18,700.62,203.92
734.08,173.48,698.62,213.12
734.15,165.18,695.47,222.31
734.51,158.18,692.77,230.8
735.42,152.19,690.35,239.87
737.07,146.91,688.76,248.28
738.5,137.49,687.13,257.4
734.18,130.05,685.9,264.96
726.62,129.82,684.04,274.05
718.11,130.88,682.7,281.46
708.41,131.44,681.24,289.44
700.65,130.85,680.07,296.72
694.63,129.99,678.87,303.85
690.2,129.67,677.68,310.96
679.47,128.94,676.61,317.69
671.94,126.53,675.61,323.78
661.16,122.34,674.52,329.83
650.52,119.46,674.03,334.55
644.23,118.34,672.43,342.36
631.18,110.25,664.23,348.31
620.83,98.118,652.97,353.21
614.13,90.394,639.47,361.46
608.23,83.828,627.07,369.37
604.84,79.72,615.28,375.86
588.87,74.12,604.16,381.27
579.2,73.446,594.3,385.62
564.4,72.19,583.64,390.04
547.73,71.217,574.84,393.72
536.74,71.617,565.96,397.42
526.95,72,557.55,401.03
518.12,72.206,549.47,404.43
507.56,71.782,541.86,407.71
492.43,71.938,534.6,410.76
482.68,73.039,527.47,413.77
470.02,74.727,520.86,416.53
463.68,75.466,514.61,419.02
457.57,76.101,508.23,421.56
452.76,76.678,502.55,423.83
450.21,77.346,496.72,426.1
448.59,76.439,491.48,428.09
438.91,75.292,485.74,430.28
433.09,82.338,480.74,432.3
432.03,86.992,476.09,434.1
429.9,99.241,471.71,435.91
431.44,122.27,467.4,437.77
433.5,130.81,463.47,439.49
435.96,144.42,460.1,441.23
437.98,157.93,457.13,442.7
440.14,171.28,453.63,444.37
442.11,182.62,450.99,445.68
444.1,193.52,449.31,446.94
445.81,203.32,448.81,448.19
447.44,213.26,449.59,449.24
448.45,221.7,449.37,450.44
449.63,231.67,449.66,451.39
450.58,241.72,449.61,452.77
456.6,252.95,450.15,455.32
466.21,260.23,449.8,458.02
477.44,269.2,447.9,458.47
487.48,277.55,444.68,456.71
497.08,285.14,442.51,454.88
506.2,291.59,441.55,453.53
514.52,297.75,440.45,451.11
524.35,305.94,439.61,448.51
531.75,312.8,439.89,447.02
536.78,318.66,439.09,444.06
532.89,328.46,435.91,437.51
522.64,331.49,434.01,427.8
512.27,333.62,434.66,419.13
500.63,336.26,435.59,411.7
490.7,338.8,436.35,404.97
483.07,341.01,437.23,396.2
476.04,343.38,437.38,391.53
467.8,344.55,437.67,384.56
460.12,343.85,438.04,383.09
444.17,364.04,437.94,376.89
443.37,364.71,437.84,370.68
443.55,362.28,437.74,364.48
443.94,360.79,436,359
444.04,360.06,434,354
444.03,359.17,434,347.73
444.12,358.44,434.01,341.46
443.68,357.94,434,340
441.34,355.24,433,336
439.89,352.6,433.06,329.33
440.13,350.27,432,323
438.33,343.16,432,317
437.06,333.8,432,311
436.95,325.49,432.75,304.5
436.86,320.09,435,299
436.36,314.23,435.45,292.3
435.99,309.06,435.9,285.6
436.1,305.56,436.35,278.9
435.94,300.28,436.8,272.2
436.44,289.25,437.25,265.5
437.56,284.86,438,259
439.04,278.69,433.63,249.37
440.5,264.44,433.79,242.61
441.96,262.36,433.94,235.91
442.45,253.6,434,229.23
441.83,245.27,434.06,222.56
441.88,239.59,434.07,216.04
442.08,235.01,434.07,209.76
442.87,233.52,434.07,203.49
442.88,228.08,434.07,197.22
443.73,225.09,434,191
444.94,221.55,434.87,184.55
443.66,212.39,434.77,178.34
