X1,Y1,W1,H1,X2,Y2,W2,H2
115,345,35,70,180,85,75,40
120,335,25,65,180,85,75,40
125,325,25,70,185,85,80,40
130,310,25,65,185,85,70,35
130,310,30,75,190,80,70,40
135,295,25,70,190,85,70,40
140,285,30,75,195,80,75,40
140,285,25,70,195,80,75,40
145,270,30,75,195,80,75,45
145,270,30,65,200,75,70,40
150,255,30,75,200,80,70,40
150,255,25,70,200,80,70,40
155,240,30,70,200,80,70,45
155,240,30,75,205,75,70,45
155,240,30,65,205,75,70,45
160,225,30,70,205,75,70,45
165,230,25,55,210,70,75,45
160,175,20,55,210,70,75,50
160,175,25,70,210,70,65,45
155,160,20,75,210,75,65,45
155,150,20,80,210,75,65,45
150,140,25,85,215,70,70,45
140,110,55,70,215,70,70,45
135,100,20,75,215,70,70,45
135,90,20,75,215,70,65,45
130,75,20,75,215,70,65,50
130,65,15,75,215,70,65,50
125,50,15,65,220,65,70,50
125,50,15,85,220,65,70,50
120,35,15,70,220,65,70,50
115,30,15,65,220,65,70,50
95,25,45,40,220,65,70,50
75,25,50,30,220,65,65,45
55,20,55,15,225,60,60,50
50,25,30,15,215,70,45,35
50,20,30,10,235,45,45,40
50,15,25,15,245,70,55,55
50,25,10,5,255,85,65,40
50,65,5,5,270,100,70,30
50,60,20,10,285,105,75,30
50,60,30,15,300,105,65,35
50,60,45,20,315,110,75,40
60,60,55,30,325,115,75,45
65,65,55,35,335,120,60,40
80,70,55,45,340,130,60,35
85,70,50,40,360,150,40,40
95,90,65,25,375,135,30,65
110,95,70,10,380,110,30,70
125,95,60,25,380,110,30,75
145,95,60,30,385,95,35,85
160,100,65,35,385,95,35,85
170,105,60,35,390,80,30,75
190,115,65,45,400,55,30,90
195,120,60,45,405,40,25,75
205,125,55,40,390,30,35,60
215,130,65,45,390,30,50,55
220,135,55,40,375,30,55,35
230,140,60,50,375,30,70,10
235,145,55,45,365,30,75,5
235,150,50,40,360,15,80,20
240,170,50,25,345,15,75,20
270,180,25,50,325,30,65,20
275,170,25,65,320,30,65,20
280,160,20,70,310,25,65,5
285,145,25,75,305,25,70,15
290,120,20,70,295,15,65,15
290,15,70,15,290,120,15,75
285,15,70,15,295,90,15,70
280,15,75,15,295,95,15,65
250,25,50,15,300,70,60,95
245,20,50,15,300,70,50,95
240,20,50,20,300,75,50,80
230,30,50,20,300,80,50,80
215,35,55,25,310,45,60,80
210,40,60,30,310,45,60,80
205,40,70,20,310,40,15,75
200,45,75,20,310,45,20,80
190,45,80,15,310,50,20,80
185,45,85,10,310,50,20,75
165,50,75,10,310,60,20,65
160,50,80,10,310,25,20,60
145,50,70,25,295,25,35,45
130,45,50,60,295,25,50,45
130,45,20,60,285,25,60,25
130,45,30,65,275,15,60,15
125,55,45,60,265,20,65,15
125,55,50,65,260,25,65,15
130,50,55,60,235,20,45,10
130,55,55,60,225,25,50,0
130,55,60,65,230,25,65,5
135,55,60,65,225,25,100,15
125,70,40,40,205,25,100,30
125,55,50,25,205,25,100,30
130,50,50,35,205,25,100,30
140,55,45,40,195,25,95,35
145,50,50,35,185,15,90,35
155,40,50,25,180,15,75,25
145,25,50,25,190,15,95,25
135,25,50,15,195,30,100,35
120,25,50,15,210,25,90,45
120,15,60,15,225,30,85,55
125,25,75,15,230,40,50,55
100,25,55,15,235,45,45,55
100,15,65,15,240,50,50,60
95,15,65,20,245,60,50,65
80,20,50,25,250,65,50,65
85,15,35,35,255,70,55,65
85,30,20,45,260,75,55,65
80,45,35,50,260,85,55,60
80,50,45,45,265,85,55,65
85,45,40,35,270,90,55,60
90,40,50,35,275,95,55,60
90,40,50,25,275,105,60,65
105,30,65,20,275,100,55,50
115,25,65,20,275,115,55,35
125,30,55,25,290,135,45,40
135,35,70,10,300,130,45,50
145,35,70,5,305,120,50,65
150,35,75,5,310,110,45,65
160,40,75,5,310,110,50,65
165,40,70,5,315,100,50,60
170,40,65,25,320,90,55,65
175,40,65,25,320,90,55,60
185,35,70,25,325,85,50,60
190,35,70,25,330,80,55,60
195,35,70,25,330,80,50,60
200,30,65,10,350,60,45,75
215,30,55,35,350,40,25,75
220,30,55,30,350,40,20,75
225,35,55,25,355,40,30,75
235,40,60,25,335,35,90,65
240,45,60,25,340,35,55,55
240,45,55,20,340,35,90,50
245,50,60,20,340,35,95,55
245,50,50,20,335,30,95,55
250,50,50,20,330,30,95,60
260,55,50,55,315,25,90,60
265,55,50,55,310,30,95,65
270,60,50,45,310,35,90,65
275,35,50,60,305,70,75,50
265,35,50,60,300,70,85,50
255,40,50,35,305,70,95,55
245,40,50,10,310,70,95,50
235,40,50,10,315,75,95,50
230,40,55,10,320,75,90,50
230,35,60,10,325,75,90,45
230,35,70,10,325,75,90,50
235,35,85,10,330,75,75,20
230,35,85,10,335,75,65,15
215,35,75,30,340,80,70,15
205,35,75,35,340,80,70,15
200,40,75,15,345,80,70,15
190,40,75,15,350,80,80,15
180,45,75,15,350,80,60,10
180,45,85,15,350,85,45,25
170,45,80,10,380,55,10,45
155,45,75,10,375,50,15,60
155,45,80,10,375,45,20,80
150,45,85,10,375,35,25,70
140,45,80,10,360,25,35,45
130,45,75,10,345,30,50,10
125,45,80,10,340,30,55,5
110,45,65,10,330,30,55,5
110,45,65,30,330,30,65,10
100,55,50,45,325,30,70,10
95,70,30,55,300,25,55,5
95,75,35,70,300,25,60,5
95,75,30,75,300,25,65,10
95,80,30,75,285,20,60,10
90,90,30,75,285,15,65,15
90,90,35,85,265,30,55,15
85,100,30,70,260,15,60,15
80,100,30,70,245,30,55,20
75,110,40,60,250,30,65,20
80,120,50,60,250,30,75,5
90,130,60,60,240,30,70,5
100,135,60,55,225,30,65,5
110,140,60,65,210,30,55,20
115,155,60,65,205,30,55,20
120,160,60,65,215,30,70,25
130,165,65,60,195,30,55,20
135,170,60,55,190,15,55,20
140,175,60,55,190,15,60,20
140,185,60,45,185,30,60,20
145,190,60,40,180,30,60,20
155,210,45,40,180,30,65,20
170,210,45,55,180,30,70,20
175,30,70,20,175,200,40,60
175,30,75,20,180,190,40,70
170,25,75,20,180,190,45,75
145,25,50,5,185,175,45,70
150,15,50,30,190,165,50,70
150,30,30,40,190,170,50,80
150,35,15,50,195,160,50,75
150,35,15,55,200,150,50,70
150,30,20,60,200,155,50,75
150,30,20,50,205,145,50,75
150,45,25,60,205,145,50,70
150,40,30,55,220,120,65,80
150,45,30,60,215,130,65,80
150,45,30,45,215,135,65,70
150,50,35,45,220,125,75,80
150,50,30,45,220,125,75,75
150,50,30,45,225,115,80,70
155,50,35,45,225,115,80,75
150,70,45,30,230,105,80,80
155,100,45,40,230,110,80,75
170,100,35,50,230,110,85,80
175,90,35,60,235,100,80,75
175,90,40,65,235,100,80,75
175,85,35,65,240,90,80,85
175,85,35,60,240,90,80,75
180,70,40,60,240,95,50,80
185,60,40,75,245,85,75,70
185,60,45,70,245,85,75,80
185,60,45,70,245,85,75,80
185,60,50,70,245,85,45,70
185,60,45,60,250,75,75,85
185,60,45,60,250,75,75,90
185,60,50,60,260,60,75,90
185,60,50,60,255,65,80,85
185,60,50,55,245,75,100,75
205,25,45,45,245,60,90,70
195,25,45,50,250,50,95,65
